,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
0,England,South Africa,England,104 runs,The Oval,"May 30, 2019",ODI # 4143
1,Pakistan,West Indies,West Indies,7 wickets,Nottingham,"May 31, 2019",ODI # 4144
2,New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff,"Jun 1, 2019",ODI # 4145
3,Afghanistan,Australia,Australia,7 wickets,Bristol,"Jun 1, 2019",ODI # 4146
4,Bangladesh,South Africa,Bangladesh,21 runs,The Oval,"Jun 2, 2019",ODI # 4147
5,England,Pakistan,Pakistan,14 runs,Nottingham,"Jun 3, 2019",ODI # 4148
6,Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff,"Jun 4, 2019",ODI # 4149
7,India,South Africa,India,6 wickets,Southampton,"Jun 5, 2019",ODI # 4150
8,Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,"Jun 5, 2019",ODI # 4151
9,Australia,West Indies,Australia,15 runs,Nottingham,"Jun 6, 2019",ODI # 4152
10,Pakistan,Sri Lanka,abandoned,,Bristol,"Jun 7, 2019",ODI # 4152a
11,England,Bangladesh,England,106 runs,Cardiff,"Jun 8, 2019",ODI # 4153
12,Afghanistan,New Zealand,New Zealand,7 wickets,Taunton,"Jun 8, 2019",ODI # 4154
13,Australia,India,India,36 runs,The Oval,"Jun 9, 2019",ODI # 4155
14,South Africa,West Indies,no result,,Southampton,"Jun 10, 2019",ODI # 4156
15,Bangladesh,Sri Lanka,abandoned,,Bristol,"Jun 11, 2019",ODI # 4156a
16,Australia,Pakistan,Australia,41 runs,Taunton,"Jun 12, 2019",ODI # 4157
17,India,New Zealand,abandoned,,Nottingham,"Jun 13, 2019",ODI # 4157a
18,England,West Indies,England,8 wickets,Southampton,"Jun 14, 2019",ODI # 4158
19,Australia,Sri Lanka,Australia,87 runs,The Oval,"Jun 15, 2019",ODI # 4159
20,Afghanistan,South Africa,South Africa,9 wickets,Cardiff,"Jun 15, 2019",ODI # 4160
21,India,Pakistan,India,89 runs,Manchester,"Jun 16, 2019",ODI # 4161
22,Bangladesh,West Indies,Bangladesh,7 wickets,Taunton,"Jun 17, 2019",ODI # 4162
23,England,Afghanistan,England,150 runs,Manchester,"Jun 18, 2019",ODI # 4163
24,New Zealand,South Africa,New Zealand,4 wickets,Birmingham,"Jun 19, 2019",ODI # 4165
25,Australia,Bangladesh,Australia,48 runs,Nottingham,"Jun 20, 2019",ODI # 4166
26,England,Sri Lanka,Sri Lanka,20 runs,Leeds,"Jun 21, 2019",ODI # 4168
27,Afghanistan,India,India,11 runs,Southampton,"Jun 22, 2019",ODI # 4169
28,New Zealand,West Indies,New Zealand,5 runs,Manchester,"Jun 22, 2019",ODI # 4170
29,Pakistan,South Africa,Pakistan,49 runs,Lord's,"Jun 23, 2019",ODI # 4171
30,Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton,"Jun 24, 2019",ODI # 4172
31,England,Australia,Australia,64 runs,Lord's,"Jun 25, 2019",ODI # 4173
32,New Zealand,Pakistan,Pakistan,6 wickets,Birmingham,"Jun 26, 2019",ODI # 4174
33,India,West Indies,India,125 runs,Manchester,"Jun 27, 2019",ODI # 4175
34,South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street,"Jun 28, 2019",ODI # 4176
35,Afghanistan,Pakistan,Pakistan,3 wickets,Leeds,"Jun 29, 2019",ODI # 4177
36,Australia,New Zealand,Australia,86 runs,Lord's,"Jun 29, 2019",ODI # 4178
37,England,India,England,31 runs,Birmingham,"Jun 30, 2019",ODI # 4179
38,Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street,"Jul 1, 2019",ODI # 4180
39,Bangladesh,India,India,28 runs,Birmingham,"Jul 2, 2019",ODI # 4182
40,England,New Zealand,England,119 runs,Chester-le-Street,"Jul 3, 2019",ODI # 4183
41,Afghanistan,West Indies,West Indies,23 runs,Leeds,"Jul 4, 2019",ODI # 4184
42,Bangladesh,Pakistan,Pakistan,94 runs,Lord's,"Jul 5, 2019",ODI # 4186
43,India,Sri Lanka,India,7 wickets,Leeds,"Jul 6, 2019",ODI # 4187
44,Australia,South Africa,South Africa,10 runs,Manchester,"Jul 6, 2019",ODI # 4188
45,India,New Zealand,New Zealand,18 runs,Manchester,"Jul 9-10, 2019",ODI # 4190
46,England,Australia,England,8 wickets,Birmingham,"Jul 11, 2019",ODI # 4191
47,England,New Zealand,tied,,Lord's,"Jul 14, 2019",ODI # 4192
